title	studio	genre	ex_number	image	notion_URL
実空間における複数ディスプレイを用いた映像表現	映像デザイン	インスタレーション, デジタルコンテンツ, 映像	34	https://drive.google.com/file/d/1NqyXedV3VDv5xwSFFsafHAohyndHVng6/view?usp=drive_link	https://ia2024webten.notion.site/Proposal-for-installations-to-enhance-tourism-in-Hitachi-City-33f9d3a061e4466e89cfc6f8ced3d579
Relationship between water and architecture	空間デザイン	空間	35	https://drive.google.com/file/d/1XDCA-hIGIVLTmUHgbH0LCk2qt2WFy-ib/view?usp=drive_link	https://ia2024webten.notion.site/76156a9230b14c4b9f1531b7b14b16ac
ビューティーブランドにおける多感覚インタフェースの設計と実装	エルゴノミックデザイン	論文	36	https://drive.google.com/file/d/12_C4ZUiaY7Ta2NWVujgUUq-FyGraZBmG/view?usp=sharing	https://ia2024webten.notion.site/c4be8f18f4964c9780684b048c5215e13
大規模言語モデルを使用したサスペンスノベルゲームの制作	インタフェースデザイン		37	https://drive.google.com/file/d/1zRCkJFezG4mWWWaktZw0sCczoECHcIW6/view?usp=drive_link	https://ia2024webten.notion.site/d86193cf77ef49d4a50a1097b0f64047
格闘ゲームのハブとなる店舗のデザイン	エディティングデザイン	ゲーム, 空間	38	https://drive.google.com/file/d/18EP-SNAtoHWUKqw36F_uhR7aU9kAZqbW/view?usp=drive_link	https://ia2024webten.notion.site/82f7217a9b444e819b89d03508ed21af
プロトタイプによる理解・発想・タイミングに関する研究	エルゴノミックデザイン	論文, プロダクト, デザイン手法	39	https://drive.google.com/file/d/1M_NNWgCfIPyO25FRP_cOpAhfQIPpUuTP/view?usp=drive_link	https://ia2024webten.notion.site/76eaa31c29e146ceaae5a17e291c621a
ジャンプ操作の協力型クレーンゲーム	インタラクティブアート	インタラクティブ, ゲーム, 電子工作	40	https://drive.google.com/file/d/1_ZIQ4Zn2_WLioeO8mW3LJK1lwKcclCg_/view?usp=drive_link	https://ia2024webten.notion.site/8ea812a3421d43098aa6bedfbd59480d
ダンサーの動きに対応して表現するインタラクティブ映像演出の制作	インタラクティブアート	インタラクティブ, インスタレーション, デジタルコンテンツ, 空間, 映像	41	https://drive.google.com/file/d/1NqyXedV3VDv5xwSFFsafHAohyndHVng6/view?usp=drive_link	https://ia2024webten.notion.site/Proposal-for-installations-to-enhance-tourism-in-Hitachi-City-33f9d3a061e4466e89cfc6f8ced3d580
Revitalization of Honcho-dori, a shopping street built in the town at the foot of Mt.Fuj	空間デザイン	空間	42	https://drive.google.com/file/d/1XDCA-hIGIVLTmUHgbH0LCk2qt2WFy-ib/view?usp=drive_link	https://ia2024webten.notion.site/76156a9230b14c4b9f1531b7b14b16ac
未定	インテリアデザイン	インスタレーション, グラフィック, イラストレーション	43	https://drive.google.com/file/d/12_C4ZUiaY7Ta2NWVujgUUq-FyGraZBmG/view?usp=sharing	https://ia2024webten.notion.site/c4be8f18f4964c9780684b048c5215e14
